Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,Description,HasTraverse,HasSloper,Hascrimp,Hassloper,Hastraverse,Hasarete,Hasjug,Hasundercling,Hascave,Hasroof,Haspinch,Hasmantle
Sloper Safari,Meadows Boulder > Hall of Horrors Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106329025/sloper-safari,3.3,-1,Boulder,V4,1,10,33.99418,-116.14301,"[<div class=""fr-view"">SDS at a low shelf and work up and slightly right on horizontals to the crux move, a long reach to a two-handed slot, before making another reach and and mantling over the sloping top. FYI - unlike the guidebook description the crux is down low unless you're mantelly-challenged.  <br/> <br/> Short but really fun climbing on mostly jugs with a definite crux.</div>, <div class=""fr-view"">Center of the west face where the rock starts to become undercut.</div>, <div class=""fr-view"">Pad</div>, <div class=""fr-view""><ul><li><a href=""http://www.youtube.com/watch?v=0WvpnTr7Ors"" rel=""nofollow noopener noreferrer"" target=""_blank"">http://www.youtube.com/watch?v=0WvpnTr7Ors</a></li><li><a href=""http://youtu.be/TrSbzcf5yDI"" rel=""nofollow noopener noreferrer"" target=""_blank"">http://youtu.be/TrSbzcf5yDI</a></li><li><a href=""https://www.youtube.com/watch?v=mKMc0P9bpv8"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://www.youtube.com/watch?v=mKMc0P9bpv8</a></li><li><a href=""https://youtu.be/CEMxMia5Tcg"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/CEMxMia5Tcg</a></li><li><a href=""https://youtu.be/hv_fM5-6cOk"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/hv_fM5-6cOk</a></li></ul></div>]",0,0,0,0,0,0,1,0,0,0,0,0
Hobbit Hole Offwidth,Hobbit Hole Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106072721/hobbit-hole-offwidth,3.2,-1,Boulder,V0,1,12,34.0229,-116.16414,"[<div class=""fr-view""><p>The obvious splitter offwidth. Gets wider as you go! Can be climbed either straight in, or liebacked.Â Â  Same grade either way, but much more strenuous to jam it straight in.</p></div>, <div class=""fr-view"">pad</div>]",0,0,0,0,0,0,0,0,0,0,0,0
Nicole Overhang,Nicole Boulder > The Hang > Planet X Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/107905741/nicole-overhang,3.2,-1,Boulder,V6,1,13,33.99779,-116.1536,"[<div class=""fr-view"">Stand start with right hand sidepull in the diagonal crack rail, left on crimp out left. Move up and left encountering big moves. Mantle</div>, <div class=""fr-view"">Visable from the Illicit Sweetie boulder, the problem faces you. Fairly obvious rail in the overhang.</div>, <div class=""fr-view"">Pads</div>, <div class=""fr-view""><ul><li><a href=""https://youtu.be/ifLBi1haEyc"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/ifLBi1haEyc</a></li><li><a href=""https://m.youtube.com/watch?v=f7esrZbM4UM"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://m.youtube.com/watch?v=f7esrZbM4UM</a></li><li><a href=""https://youtu.be/0jQg-mxGm7M"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/0jQg-mxGm7M</a></li><li><a href=""https://youtu.be/Sq6D8MVwXh0"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/Sq6D8MVwXh0</a></li><li><a href=""https://youtu.be/LOpO8wuBJD0?t=547"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/LOpO8wuBJD0?t=547</a></li></ul></div>]",0,0,1,0,0,0,0,0,0,0,0,1
Roof Romp,Romp Roof > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105837898/roof-romp,3.1,-1,Boulder,V4,1,15,34.02174,-116.16332,"[<div class=""fr-view""><p>Sit your butt in the dirt on all the very chalked up holds about 3/4 of the way left of the wall. Use whichever holds you like and can reach from the ground. From here, traverse right on weird huecos &amp; xenoliths until you get to some tension-y underclongs and a long reach for a shoulder. Figure out hot to get firmly into this shoulder and then bust out high &amp; right for a juggy crack system. Take the juggy crack system up &amp; then either drop off at the top jugs or pull the sketchy top out moves if you feel like it.</p></div>, <div class=""fr-view""><p>This boulder is a lone boulder in the outback. 34.02174, -116.16332</p></div>, <div class=""fr-view"">pads</div>]",1,0,0,0,1,0,1,0,0,0,0,0
Illicit Sweetie,Illicit Sweetie Boulder > The Hang > Planet X Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105798054/illicit-sweetie,3,-1,Boulder,V0,1,18,33.99802,-116.15351,"[<div class=""fr-view"">Climb the left side of the alligator skin face via incut edges and buckets. Once past the start and your feet are established it's just sweet patina plates all the way to the top. Easy descent via incut patina jugs to the right or off the slabby north side of the boulder.</div>, <div class=""fr-view"">Center of the east face at the left edge of the patina patch.</div>, <div class=""fr-view"">pad</div>]",0,0,0,0,0,0,1,0,0,0,0,0
False Hueco Traverse,False Hueco Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106048290/false-hueco-traverse,3,-1,Boulder,V2,1,15,34.01912,-116.16529,"[<div class=""fr-view"">SDS.  Start as for False Hueco, but traverse right.  good heel hooks move you quickly.  crux at the end.</div>, <div class=""fr-view"">pad and spotter to move it.</div>, <div class=""fr-view""><p><a href=""https://www.youtube.com/watch?v=RVr035BJe-I"" rel=""nofollow noopener noreferrer"" target=""_blank"">False Hueco Traverse</a></p></div>]",1,0,0,0,1,0,0,0,0,0,0,0
Yabo Roof,Yabo Roof Area > JBMF Boulders > Roadside Rocks Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106039628/yabo-roof,3,-1,Boulder,V3,1,6,34.01468,-116.1658,"[<div class=""fr-view"">SDS.  throw to the lip and do the sweet mantel</div>, <div class=""fr-view"">located on the far left (south) boulder on the circuit</div>, <div class=""fr-view"">pad</div>, <div class=""fr-view""><ul><li><a href=""https://youtu.be/vFec4_7H5xo"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/vFec4_7H5xo</a></li><li><a href=""https://www.youtube.com/watch?v=BKyNQKmXSWQ"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://www.youtube.com/watch?v=BKyNQKmXSWQ</a></li><li><a href=""https://youtu.be/viJJIVEHpwI"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/viJJIVEHpwI</a></li><li><a href=""https://youtu.be/eW2D-9WC0p4"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/eW2D-9WC0p4</a></li><li><a href=""https://www.youtube.com/watch?v=Tt_AUfvhMUY"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://www.youtube.com/watch?v=Tt_AUfvhMUY</a></li></ul></div>]",0,0,0,0,0,0,0,0,0,0,0,0
Caveman,Caveman Boulder > HVCG West > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105723397/caveman,3.6,-1,Boulder,V7,1,30,34.01622,-116.1633,"[<div class=""fr-view"">Start by climbing an adjacent boulder on the right side of the cave to access the huge starting jugs, traverse left on STEEEP jugs with bad feet to a cruXy low spot in the roof, finishing up fins and jugs. Downclimb and step off to finish at either the highest jug or at the furthest jug to the left. <br/> <br/> Traversing high at the start and utilizing the ""hidden"" hold, this problem might be V6, traversing low at the start is probably more like V7, avoiding the ""hidden"" hold is even a bit harder (IMO more esthetic). I think this problem deserves AT LEAST 1 star, prolly 2 because of the uniqueness of the climbing involved. <br/> <br/> The sit starts low on the far right of the cave at a pinch and a sloping undercling, about 10 feet below the regular start. Crumbly starting holds have made this start harder over the years. Consensus is that it is a fairly solid V10, holding on for nearly 25 moves being the business. </div>, <div class=""fr-view"">pad</div>]",1,0,0,0,1,0,1,1,1,1,1,0
Pinhead,Pinhead Boulder > HVCG North > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105722209/pinhead,2.9,-1,Boulder,5.8+ V0,1,15,34.01999,-116.16161,"[<div class=""fr-view"">This 15' blockish boulder is located approximately 100 yards from the pit toilet at the end of the back loop of Hidden Valley Campground along obvious trail.  Several excellent problems exist.  Pinhead follows the prominent fingertip crack along the west face.  Fingerlocks up crack and mantle to top.  Downclimb east face. </div>, <div class=""fr-view"">Crash pad. </div>]",0,0,0,0,0,0,0,0,0,0,0,1
Classic Thin Crack,Classic Thin Crack Boulder > Echo Cove Bouldering > Echo Rock Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106069406/classic-thin-crack,3.1,-1,Boulder,V2,1,15,34.02534,-116.15881,"[<div class=""fr-view"">This short boulder crack is on a south facing boulder about 100' left of ""Fun Stuff"". Climb the right-leaning crack in the middle of the face. <br/> <br/> From the parking lot, a sign marks a short trail to this problem. </div>, <div class=""fr-view"">Pad. </div>, <div class=""fr-view""><ul><li><a href=""https://youtu.be/G4J6wqwFXis"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://youtu.be/G4J6wqwFXis</a></li><li><a href=""https://www.instagram.com/p/CMJBa8OjRQN/"" rel=""nofollow noopener noreferrer"" target=""_blank"">https://www.instagram.com/p/CMJBa8OjRQN/</a></li></ul></div>]",0,0,0,0,0,0,0,0,0,0,0,0
Yabba Dabba Don't,Yabba Dabba Don't Boulder > Outback Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106066269/yabba-dabba-dont,3,-1,Boulder,V3,1,15,34.01968,-116.16583,"[<div class=""fr-view"">After easy moves to a big jug in a left leaning diagonal crack, this problem involves an exciting and committing diagonal dyno to an exceptionally large, black xenolith. The landing drops away at a sloping angle into a pile of big cobbles, but can be made fairly safe with a couple of pads.</div>, <div class=""fr-view"">Center of the southeast face.</div>, <div class=""fr-view"">pads and spotter.</div>]",0,0,0,0,0,0,1,0,0,0,0,0
Strawberry Contraceptives,Strawberry Contraceptives Boulder > The Hang > Planet X Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/108433838/strawberry-contraceptives,3.2,-1,Boulder,V7,1,10,33.99762,-116.15424,"[<div class=""fr-view"">SDS on the north arete, on good holds. Make steep moves on the overhang, finishing on the arete.</div>, <div class=""fr-view"">Pads</div>]",0,0,0,0,0,1,0,0,0,0,0,0
Undertow,Manx Boulders - Northwest Face > Manx Boulders > Manx Boulders Circuit > Manx/Asteroid Belt Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105908399/undertow,2.9,-1,Boulder,V3,1,16,34.01431,-116.15814,"[<div class=""fr-view"">The area classic. An off balance move gets a foot established on the shelf 4' off the ground, grab the vertical seam/crack and stand up. Move up on mediocre to bad feet and small crimps to a good handhold near the lip, then go way over the top to a positive hueco.</div>, <div class=""fr-view"">About 10 feet left of the scoop where Scuttlebutt starts is a sloping shelf at chest height and a short vertical tips crack/seam just above which ends after a couple of feet.</div>, <div class=""fr-view"">Pad.</div>]",0,0,1,0,0,0,0,0,0,0,0,0
Sweetie Pie (Dragon Scales),Illicit Sweetie Boulder > The Hang > Planet X Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106649376/sweetie-pie-dragon-scales,3,-1,Boulder,V-easy,1,18,33.99802,-116.15351,"[<div class=""fr-view""><p>Start in the center of the patina patch and climb the ""alligator skin"" face above to an easy mantle finish. This problem is also useful as a downclimb from the boulder.</p></div>, <div class=""fr-view"">Center of the east face and 6' right of <a href=""https://www.mountainproject.com/route/105798054/illicit-sweetie"">Illicit Sweetie</a>.</div>, <div class=""fr-view"">pad</div>]",0,0,0,0,0,0,0,0,0,0,0,1
Mystical Vibrations,Mystical Vibrations > HVCG North > HVCG Bouldering Circuit > Hidden Valley Campground Bouldering > Hidden Valley Area Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106662822/mystical-vibrations,3.2,-1,Boulder,V5-,1,15,34.01955,-116.16367,"[<div class=""fr-view"">Sit start under the roof on a killer hueco, chuck to a big shelf, then power over the rounded arete. Down climb the slightly scary slab.</div>, <div class=""fr-view"">Pads, spotter.</div>]",0,0,0,0,0,1,0,0,0,1,0,0
Satellite Boulder Left,Satellite Boulder > Planet X Area > Planet X Bouldering > Central Joshua Tree Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/107601458/satellite-boulder-left,3.5,-1,Boulder,V3 PG13,1,18,33.9966,-116.15558,"[<div class=""fr-view"">Start on jugs, finish on excitement. Try not to peel into the tree.</div>, <div class=""fr-view"">Left side of boulder, start on jugs, go right, then back left to top out.</div>, <div class=""fr-view"">Two pads.</div>]",0,0,0,0,0,0,1,0,0,0,0,0
